MapName,ChunkX,ChunkY,CenterX,CenterY,RegionCode,OreCap,WoodCap,FishCap,FarmCap,TanCap
Felucca,0,0,64,64,0,0,0,4000,0,0
Felucca,0,1,64,192,0,0,0,4000,0,0
Felucca,0,2,64,320,0,0,0,4000,0,0
Felucca,0,3,64,448,0,0,0,4000,0,0
Felucca,0,4,64,576,0,0,0,4000,0,0
Felucca,0,5,64,704,0,0,0,4000,0,0
Felucca,0,6,64,832,0,0,0,4000,0,0
Felucca,0,7,64,960,0,0,0,4000,0,0
Felucca,0,8,64,1088,0,0,0,4000,0,0
Felucca,0,9,64,1216,0,0,0,4000,0,0
Felucca,0,10,64,1344,0,0,44,4000,0,44
Felucca,0,11,64,1472,0,200,36,4000,0,36
Felucca,0,12,64,1600,0,0,0,4000,0,0
Felucca,0,13,64,1728,0,0,0,4000,0,0
Felucca,0,14,64,1856,0,0,0,4000,0,0
Felucca,0,15,64,1984,0,0,0,4000,0,0
Felucca,0,16,64,2112,0,0,0,4000,0,0
Felucca,0,17,64,2240,0,0,0,4000,0,0
Felucca,0,18,64,2368,0,0,0,4000,0,0
Felucca,0,19,64,2496,0,0,0,4000,0,0
Felucca,0,20,64,2624,0,0,0,4000,0,0
Felucca,0,21,64,2752,0,0,0,4000,0,0
Felucca,0,22,64,2880,0,0,0,4000,0,0
Felucca,0,23,64,3008,0,0,0,4000,0,0
Felucca,0,24,64,3136,0,0,0,4000,0,0
Felucca,0,25,64,3264,0,0,0,4000,0,0
Felucca,0,26,64,3392,0,0,0,4000,0,0
Felucca,0,27,64,3520,0,0,0,4000,0,0
Felucca,0,28,64,3648,0,0,0,4000,0,0
Felucca,0,29,64,3776,0,0,0,4000,0,0
Felucca,0,30,64,3904,0,0,0,4000,0,0
Felucca,0,31,64,4032,0,0,0,4000,0,0
Felucca,1,0,192,64,0,0,0,4000,0,0
Felucca,1,1,192,192,0,0,0,4000,0,0
Felucca,1,2,192,320,0,0,0,4000,0,0
Felucca,1,3,192,448,0,0,0,4000,0,0
Felucca,1,4,192,576,0,0,0,4000,0,0
Felucca,1,5,192,704,210800,200,37,2000,0,37
Felucca,1,6,192,832,210800,200,47,2000,0,47
Felucca,1,7,192,960,210800,0,2,4000,0,2
Felucca,1,8,192,1088,210800,0,3,4000,0,3
Felucca,1,9,192,1216,210800,0,0,4000,0,0
Felucca,1,10,192,1344,0,200,1552,2000,0,1552
Felucca,1,11,192,1472,0,200,1834,1000,0,1834
Felucca,1,12,192,1600,0,0,0,4000,0,0
Felucca,1,13,192,1728,0,0,0,4000,0,0
Felucca,1,14,192,1856,0,0,0,4000,0,0
Felucca,1,15,192,1984,0,0,0,4000,0,0
Felucca,1,16,192,2112,0,0,0,4000,0,0
Felucca,1,17,192,2240,0,0,0,4000,0,0
Felucca,1,18,192,2368,0,0,0,4000,0,0
Felucca,1,19,192,2496,0,0,0,4000,0,0
Felucca,1,20,192,2624,0,0,0,4000,0,0
Felucca,1,21,192,2752,0,0,0,4000,0,0
Felucca,1,22,192,2880,0,0,0,4000,0,0
Felucca,1,23,192,3008,0,0,0,4000,0,0
Felucca,1,24,192,3136,0,0,0,4000,0,0
Felucca,1,25,192,3264,0,0,0,4000,0,0
Felucca,1,26,192,3392,0,0,0,4000,0,0
Felucca,1,27,192,3520,0,0,0,4000,0,0
Felucca,1,28,192,3648,0,0,0,4000,0,0
Felucca,1,29,192,3776,0,0,0,4000,0,0
Felucca,1,30,192,3904,0,0,0,4000,0,0
Felucca,1,31,192,4032,0,0,0,4000,0,0
Felucca,2,0,320,64,0,0,0,4000,0,0
Felucca,2,1,320,192,0,0,0,4000,0,0
Felucca,2,2,320,320,0,0,0,4000,0,0
Felucca,2,3,320,448,0,0,0,4000,0,0
Felucca,2,4,320,576,0,0,0,4000,0,0
Felucca,2,5,320,704,210800,200,47,2000,0,47
Felucca,2,6,320,832,210800,200,123,1000,0,123
Felucca,2,7,320,960,210800,200,210,1000,0,210
Felucca,2,8,320,1088,210800,200,193,2000,0,193
Felucca,2,9,320,1216,210800,200,246,2000,0,246
